name	Air	brackish	Cultivated	Food	freshwater	host_associated	hydrothermal	marine	Plant_Associated	soil	unknown	wastewater	other
GCA_001899315_ASM189931v1	0	0	0	1	1	1	0	1	0	1	0	1	0
GCA_001899335_ASM189933v1	0	0	0	0	0	1	0	0	0	0	0	0	0
GCA_001899365_ASM189936v1	0	0	0	0	0	1	0	0	0	0	0	0	0
GCA_001899385_ASM189938v1	0	0	0	0	0	1	0	1	0	0	0	1	0
GCA_001899425_ASM189942v1	0	0	0	0	0	1	0	0	0	0	0	0	0
GCA_001917115_ASM191711v1	0	0	0	0	0	1	0	0	0	0	0	0	0
GCA_002102645_ASM210264v1	0	0	0	0	0	1	0	0	0	0	0	0	0
GCA_002102715_ASM210271v1	0	0	0	0	1	1	0	0	0	0	1	1	0
GCA_002102725_ASM210272v1	0	0	0	0	1	1	0	0	0	0	1	1	0
GCA_002102735_ASM210273v1	0	0	0	0	0	1	0	0	0	0	1	1	0
GCA_002102745_ASM210274v1	0	0	0	0	1	1	0	0	0	0	1	1	0
GCA_002102795_ASM210279v1	0	0	0	0	0	1	0	0	0	0	1	1	0
GCA_002102805_ASM210280v1	0	0	0	0	0	1	0	0	0	0	1	1	0
GCA_002102815_ASM210281v1	0	0	0	0	1	1	0	0	0	0	1	1	0
GCA_002102825_ASM210282v1	0	0	0	0	0	1	0	0	0	0	1	1	0
GCA_002102875_ASM210287v1	0	0	0	0	1	1	0	0	0	0	1	1	0
GCA_002102885_ASM210288v1	0	0	0	0	1	1	0	0	0	0	1	1	0
GCA_002102895_ASM210289v1	0	0	0	0	1	1	0	0	0	0	1	1	0
GCA_002102905_ASM210290v1	0	0	0	0	1	1	0	0	0	0	1	1	0
GCA_002102955_ASM210295v1	0	0	0	0	1	1	0	0	0	0	1	1	0
GCA_002102975_ASM210297v1	0	0	0	0	1	1	0	0	0	0	1	1	0
GCA_002102985_ASM210298v1	0	0	0	0	1	1	0	0	0	0	1	1	0
GCA_002102995_ASM210299v1	0	0	0	0	1	1	0	0	0	0	1	1	0
GCA_002103035_ASM210303v1	0	0	0	0	1	1	0	0	0	0	1	1	0
GCA_002103055_ASM210305v1	0	0	0	0	0	1	0	0	0	1	1	1	0
GCA_002103075_ASM210307v1	0	0	0	0	0	1	0	0	0	0	0	0	0
GCA_002103085_ASM210308v1	0	0	0	0	1	1	0	0	0	0	1	1	0
GCA_002103105_ASM210310v1	0	0	0	0	0	1	0	0	0	1	0	1	0
GCA_002103135_ASM210313v1	0	0	0	0	1	1	0	0	0	0	0	1	0
GCA_002633155_ASM263315v1	0	0	0	0	0	1	0	0	0	0	0	0	0
GCA_003149375_ASM314937v1	0	0	1	0	0	0	0	0	0	0	0	0	0
GCA_003150395_ASM315039v1	0	0	0	0	0	1	0	0	0	0	0	0	0
GCA_003242885_ASM324288v1	0	0	0	0	1	0	1	0	0	0	0	1	0
GCA_003258725_ASM325872v1	0	0	0	0	0	1	0	0	0	0	0	1	0
GCA_003258735_ASM325873v1	0	0	0	0	0	1	0	0	0	0	0	1	0
GCA_003258785_ASM325878v1	0	0	0	0	0	1	0	0	0	0	0	1	0
GCA_003258795_ASM325879v1	0	0	0	0	0	1	0	0	0	0	0	1	0
GCA_003963305_ASM396330v1	0	0	0	0	1	0	0	0	0	1	0	1	0
GCA_004769085_ASM476908v1	0	0	0	0	1	0	0	0	0	1	0	0	0
GCA_004769095_ASM476909v1	0	0	0	1	1	1	0	1	0	1	0	1	0
GCA_004769115_ASM476911v1	0	0	0	1	1	1	0	1	0	1	0	1	0
GCA_005110385_ASM511038v1	0	1	0	0	1	0	0	0	0	0	0	0	0
GCA_005110395_ASM511039v1	0	0	0	0	1	0	0	0	0	0	0	0	0
GCA_900752845_ERS396310_11	0	0	0	0	0	1	0	0	0	0	0	0	0
GCA_900753705_ERS396380_6	0	0	0	0	0	1	0	0	0	1	0	1	0
GCA_900753735_ERS396384_76	0	0	0	0	0	1	0	0	0	0	0	1	0
GCA_900754375_ERS396486_5	0	1	0	0	0	1	0	0	0	0	0	0	0
GCA_900755835_ERS473266_20	0	0	0	0	0	1	0	0	0	0	0	0	0
GCA_900755955_ERS473294_87	0	0	0	0	0	1	0	0	0	0	0	1	0
GCA_903835245_freshwater_MAG_Umea_bin_03849	0	0	0	0	1	0	0	0	0	0	0	0	0
GCA_903866275_freshwater_MAG_Umea1_bin_2013	0	0	0	0	1	0	0	0	0	0	0	0	0
GCA_903826385_freshwater_MAG_Umea1p2_bin_0125	0	0	0	0	1	0	0	0	0	0	0	0	0
GCA_903839075_freshwater_MAG_Umea1p3_bin_338	0	0	0	0	1	0	0	0	0	0	0	0	0
GCA_000011385_ASM1138v1	0	0	0	0	0	0	0	0	0	1	0	0	0
GCA_000332215_ASM33221v1	0	0	0	0	0	0	0	0	1	0	0	0	0
GCA_000484535_ASM48453v1	0	0	0	0	0	0	1	0	0	1	1	0	0
GCA_001870225_ASM187022v1	0	1	0	0	0	0	0	0	0	0	0	0	0
GCA_001873375_ASM187337v1	0	1	0	0	1	0	0	0	0	0	0	0	0
GCA_002083825_ASM208382v1	0	0	1	0	0	0	1	1	1	1	1	0	0
GCA_002291895_ASM229189v1	0	0	0	0	1	0	0	0	0	0	0	0	0
GCA_002325645_ASM232564v1	0	0	0	0	1	0	0	0	0	0	0	0	0
GCA_002482705_ASM248270v1	0	0	0	0	0	0	1	0	0	1	1	1	0
GCA_002783405_ASM278340v1	0	0	0	0	1	0	0	0	0	0	0	0	0
GCA_002861535_ASM286153v1	0	0	0	0	0	0	1	0	0	0	0	0	0
GCA_002914585_ASM291458v1	0	0	0	0	1	0	0	0	0	0	0	0	0
GCA_003151275_20120700_P3D	0	0	0	0	0	0	0	0	0	1	0	0	0
GCA_003153555_20120700_P3D	0	0	0	0	0	0	0	0	0	1	0	0	0
GCA_003242085_ASM324208v1	0	0	0	0	0	0	0	0	1	0	0	0	0
GCA_003249015_ASM324901v1	0	1	0	0	1	0	0	0	0	0	0	0	0
GCA_003249035_ASM324903v1	0	0	0	0	1	0	0	0	0	0	0	0	0
GCA_003456125_ASM345612v1	0	0	0	0	0	0	0	0	0	1	0	0	0
GCA_003503675_ASM350367v1	0	0	0	0	1	0	0	0	0	0	0	0	0
Gloeobacterales_Larsen_GCA_011331945_ASM1133194v1_genomic	0	0	0	0	1	0	1	0	0	0	0	0	0
GCA_012031145_ASM1203114v1	0	1	0	0	0	0	0	0	0	0	0	0	0
GCA_012031195_ASM1203119v1	0	1	0	0	0	0	0	0	0	0	0	0	0
GCA_012031565_ASM1203156v1	0	1	0	0	0	0	0	0	0	0	0	0	0
GCA_013285545_ASM1328554v1	0	0	0	0	1	0	0	0	0	0	0	0	0
GCA_013285555_ASM1328555v1	0	0	0	0	1	0	0	0	0	0	0	0	0
GCA_014377055_ASM1437705v1	0	0	0	0	1	0	0	0	0	0	0	0	0
GCA_014377495_ASM1437749v1	0	0	0	0	0	0	1	1	1	1	0	0	0
GCA_014379585_ASM1437958v1	0	0	0	0	1	0	0	0	0	0	0	0	0
GCA_014380935_ASM1438093v1	0	0	0	0	1	0	0	0	0	0	0	0	0
GCA_015295985_ASM1529598v1	0	0	0	0	0	0	1	0	0	0	0	0	0
GCA_016584665_ASM1658466v1	0	0	0	0	1	0	0	0	0	0	0	0	0
GCA_016867235_JGI_2017_08_21	0	0	0	0	1	0	0	0	0	0	0	0	0
GCA_016867265_JGI_2017_08_21	0	0	0	0	1	0	0	0	0	0	0	0	0
GCA_017744355_ASM1774435v1	0	0	0	0	0	0	0	0	0	1	0	0	0
GCA_018780035_ASM1878003v1	0	0	0	0	0	0	1	0	0	0	0	1	0
GCA_020404105_ASM2040410v1	0	0	0	0	1	0	0	0	0	0	0	1	0
GCA_020404895_ASM2040489v1	0	1	0	0	1	0	0	0	0	0	1	0	0
GCA_021018745_ASM2101874v1	0	0	0	0	0	0	0	0	0	1	0	0	0
GCA_021781555_ASM2178155v1	0	0	0	0	0	0	0	0	0	0	0	0	1
GCA_021533835_ASM2153383v1	0	0	0	0	0	0	1	0	0	0	0	0	0
GCA_021790035_ASM2179003v1	0	0	0	0	0	0	0	0	0	0	0	0	1
GCA_022848905_ASM2284890v1	0	1	0	0	0	0	0	0	0	0	0	0	0
GCA_023336205_ASM2333620v1	0	1	0	0	1	0	0	0	0	0	1	1	0
GCA_025055675_ASM2505567v1	0	0	0	0	0	0	1	0	0	0	0	0	0
GCA_025056115_ASM2505611v1	0	0	0	0	0	0	1	0	0	0	0	0	0
GCA_025062155_ASM2506215v1	0	0	0	0	0	0	1	0	0	0	0	0	0
GCA_031398925_ASM3139892v1	0	0	0	0	0	0	0	0	0	1	0	0	0
GCA_031399965_ASM3139996v1	0	0	0	0	1	0	0	0	0	1	0	0	0
GCA_903819605_freshwater_MAG_3_5_bin_680	0	0	0	0	1	0	0	0	0	0	0	0	0
GCA_913773825_maxbin_SP350_1_003_cleaned	0	0	0	0	0	0	0	0	1	0	0	0	0
GCA_927797885_Thermomargarita_ahousahtiae_VI4D9	0	0	0	0	0	0	1	0	0	0	0	0	0
GCA_949127685_PMM_0068	0	1	0	0	1	0	0	0	0	1	0	0	0
GCA_949127895_PMM_0042	0	1	0	0	1	0	0	0	0	1	0	0	0
GCA_000013205_ASM1320v1	0	0	0	0	0	0	1	1	0	0	0	0	0
GCA_000013225_ASM1322v1	0	0	0	0	0	0	1	1	0	0	0	0	0
GCA_000332175_ASM33217v1	0	0	0	0	1	0	0	0	0	0	0	0	0
GCA_002251945_ASM225194v1	0	0	0	0	1	1	0	0	0	0	0	1	0
GCA_003967015_ASM396701v1	0	0	0	0	0	0	0	0	0	0	0	1	0
GCA_006937785_ASM693778v1	0	1	0	0	1	0	0	0	0	0	1	0	0
GCA_012863495_ASM1286349v1	0	0	0	0	1	0	0	0	0	0	0	1	0
GCA_014696345_ASM1469634v1	0	0	0	0	1	0	0	0	0	0	0	0	0
GCA_014696925_ASM1469692v1	0	1	0	0	1	0	0	0	0	0	1	1	0
GCA_022984075_ASM2298407v1	0	0	0	0	0	0	1	0	0	0	0	0	0
GCA_902168245_MAG_Melainabacteria_sp_nbed3b74	0	0	0	0	0	0	0	0	1	1	0	0	0
GCA_910577515_MGBC104636	0	0	0	0	0	1	0	0	0	0	0	1	0
GCA_910577395_MGBC104891	0	0	0	0	0	1	0	0	0	0	0	0	0
GCA_910577635_MGBC104987	0	0	0	0	0	1	0	0	0	0	0	0	0
GCA_910578465_MGBC110388	0	0	0	0	0	1	0	0	0	0	0	0	0
GCA_910579975_MGBC118087	0	0	0	0	0	1	0	0	0	0	0	0	0
GCA_910583725_MGBC122484	0	0	0	0	0	1	0	0	0	0	0	0	0
GCA_910583875_MGBC124931	0	0	0	0	0	1	0	0	0	0	0	0	0
GCA_910584405_MGBC124934	0	0	0	0	0	1	0	0	0	0	0	0	0
GCA_910586855_MGBC142924	0	0	0	0	0	1	0	0	0	0	0	1	0
GCA_910588555_MGBC145961	0	0	0	0	0	1	0	0	0	0	0	0	0
GCA_910587055_MGBC157385	0	0	0	0	0	1	0	0	0	0	0	0	0
GCA_910587375_MGBC159243	0	0	0	0	0	1	0	0	0	0	0	0	0
GCA_910587245_MGBC159851	0	0	0	0	0	1	0	0	0	0	0	0	0
GCA_910587175_MGBC161128	0	0	0	0	0	1	0	0	0	0	0	0	0
GCA_910587815_MGBC162268	0	0	0	0	0	1	0	0	0	0	0	0	0
GCA_905234915_RUG30175	0	0	0	0	0	1	0	0	0	0	0	0	0
GCA_905234865_RUG30176	0	0	0	0	0	1	0	0	0	0	0	0	0
GCA_905235155_RUG30213	0	0	0	0	0	1	0	0	0	0	0	0	0
GCA_905235825_RUG30286	0	0	0	0	0	1	0	0	0	0	0	0	0
GCA_905236775_RUG30312	0	0	0	0	0	1	0	0	0	0	0	0	0
GCA_905236055_RUG30317	0	0	0	0	0	1	0	0	0	0	0	0	0
GCA_905236155_RUG30322	0	0	0	0	0	1	0	0	0	0	0	0	0
GCA_905236205_RUG30328	0	0	0	0	0	1	0	0	0	0	0	0	0
GCA_905236505_RUG30356	0	0	0	0	0	1	0	0	0	0	0	0	0
GCA_900761225_SRS050299_2	0	0	0	0	1	1	0	0	0	0	0	0	0
GCA_900761525_SRS077392_71	0	0	0	0	0	1	0	0	0	1	0	1	0
GCA_900766355_SRS475537_58	0	0	0	0	0	1	0	0	0	0	0	1	0
GCA_900766705_SRS475613_36	0	0	0	0	0	1	0	0	0	0	1	1	0
GCA_900767135_SRS475682_56	0	0	0	0	0	1	0	0	0	0	0	1	0
GCA_900767725_SRS476014_35	0	0	0	0	0	1	0	0	0	0	0	1	0
GCA_900767775_SRS476014_4	0	0	0	0	0	1	0	0	0	0	0	1	0
GCA_900768495_SRS476144_104	0	0	0	0	0	1	0	0	0	0	0	1	0
GCA_900768915_SRS476173_30	0	0	0	0	0	1	0	0	0	0	0	1	0
GCA_900769015_SRS476188_88	0	0	0	0	0	1	0	0	0	0	0	1	0
GCA_900769355_SRS476195_7	0	0	0	0	0	1	0	0	0	0	0	1	0
GCA_900769645_SRS476271_96	0	0	0	0	0	1	0	0	0	0	0	1	0
GCA_900769685_SRS476278_40	0	0	0	0	0	1	0	0	0	0	1	1	0
GCA_900770525_SRS476326_8	0	0	0	0	0	1	0	0	0	0	0	1	0
GCA_900771775_SRS820607_32	0	0	0	0	0	1	0	0	0	0	0	1	0
GCA_900772035_SRS820614_61	0	0	0	0	0	1	0	0	0	0	0	1	0
GCA_900772105_SRS820617_72	0	0	0	0	0	1	0	0	0	0	0	1	0
GCA_900772315_SRS820622_21	0	0	0	0	0	1	0	0	0	0	0	1	0
GCA_900548405_UMGS1078	0	0	0	0	0	1	0	0	0	0	0	0	0
GCA_900548375_UMGS1079	0	0	0	0	0	1	0	0	0	1	1	1	0
GCA_900552525_UMGS1517	0	0	0	0	1	1	0	0	0	0	1	1	0
