	Air	Brackish	Cultivated	Food	Fracking_Well	Freshwater	Glacial	Host_Associated	Hydrothermal	Marine	Plant_Associated	soil_sediment_rock	Unknown	Wastewater	Wetland
GCA_017307165.1_ASM1730716v1	0	0	0	0	1	1	0	1	1	1	1	1	1	1	0
GCA_017402995.1_ASM1740299v1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GCA_017415185.1_ASM1741518v1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GCA_017452865.1_ASM1745286v1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GCA_017467305.1_ASM1746730v1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GCA_017475485.1_ASM1747548v1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GCA_017520125.1_ASM1752012v1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GCA_017560095.1_ASM1756009v1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GCA_017888365.1_ASM1788836v1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0
GCA_017987375.1_ASM1798737v1	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0
GCA_017989675.1_ASM1798967v1	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0
GCA_017998685.1_ASM1799868v1	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0
GCA_018695135.1_ASM1869513v1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
GCA_900548375.1_UMGS1079	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1
GCA_900548405.1_UMGS1078	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GCA_900552525.1_UMGS1517	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0
GCA_900752845.1_ERS396310_11	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GCA_900753705.1_ERS396380_6	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1
GCA_900753735.1_ERS396384_76	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
GCA_900754375.1_ERS396486_5	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
GCA_900755835.1_ERS473266_20	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GCA_900755955.1_ERS473294_87	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
GCA_900761225.1_SRS050299_2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
GCA_900761525.1_SRS077392_71	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1
GCA_900766355.1_SRS475537_58	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
GCA_900766695.1_SRS475585_52	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
GCA_900766705.1_SRS475613_36	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0
GCA_900767135.1_SRS475682_56	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
GCA_900767725.1_SRS476014_35	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
GCA_900767775.1_SRS476014_4	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
GCA_900768495.1_SRS476144_104	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
GCA_900768915.1_SRS476173_30	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
GCA_900769015.1_SRS476188_88	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
GCA_900769355.1_SRS476195_7	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
GCA_900769645.1_SRS476271_96	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
GCA_900769685.1_SRS476278_40	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0
GCA_900770525.1_SRS476326_8	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
GCA_900771775.1_SRS820607_32	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
GCA_900771885.1_SRS820610_29	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
GCA_900772035.1_SRS820614_61	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
GCA_900772105.1_SRS820617_72	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
GCA_900772315.1_SRS820622_21	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
GCA_900772385.1_SRS820622_9	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
GCA_903826385.1_freshwater_MAG_---_Umea1p2_bin-0125	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GCA_903835245.1_freshwater_MAG_---_Umea_bin-03849	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GCA_903839075.1_freshwater_MAG_---_Umea1p3_bin-338	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GCA_903866275.1_freshwater_MAG_---_Umea1_bin-2013	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GCA_903970295.1_BOG_286	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
GCA_905234865.1_RUG30176	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GCA_905234915.1_RUG30175	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GCA_905235155.1_RUG30213	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GCA_905235825.1_RUG30286	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GCA_905236055.1_RUG30317	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GCA_905236155.1_RUG30322	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GCA_905236205.1_RUG30328	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GCA_905236505.1_RUG30356	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GCA_905236775.1_RUG30312	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GCA_910577395.1_MGBC104891	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GCA_910577515.1_MGBC104636	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
GCA_910577635.1_MGBC104987	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GCA_910578465.1_MGBC110388	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GCA_910579975.1_MGBC118087	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GCA_910583725.1_MGBC122484	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GCA_910583875.1_MGBC124931	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GCA_910584405.1_MGBC124934	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GCA_910586855.1_MGBC142924	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
GCA_910587055.1_MGBC157385	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GCA_910587175.1_MGBC161128	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GCA_910587245.1_MGBC159851	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GCA_910587375.1_MGBC159243	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GCA_910587815.1_MGBC162268	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GCA_910588555.1_MGBC145961	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Gloeobacterales_3300025548_6	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1
Gloeobacterales_GCA_000484535.1_ASM48453v1	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0
Gloeobacterales_GCA_013285555.1_ASM1328555v1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Gloeobacterales_GCA_014379585.1_ASM1437958v1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Gloeobacterales_GCA_014380935.1_ASM1438093v1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
Gloeobacterales_GCA_021018745.1_ASM2101874v1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Gloeobacterales_HawaiiGloeobacter	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Gloeobacterales_Larsen_GCA_011331945.1_ASM1133194v1_genomic	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
PMM_0068	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1
Gloeobacterales_violaceus	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
GCA_902168245.1_MAG-Melainabacteria_sp_nbed3b74	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
